Date,Close,High,Low,Open,Volume,MA_7,MA_21,Daily_Return,Close_Scaled
2020-01-29,678.5634155273438,681.2271232506934,673.8803981274411,675.8996553584789,6832757,668.4608764648438,651.9731823149182,0.015038712242074315,0.15182776110510077
2020-01-30,670.8300170898438,678.5634230837039,668.5099848025825,678.5634230837039,3859680,670.6949724469866,653.7674124581473,-0.011396721751481431,0.1466370726194951
2020-01-31,666.7484741210938,674.481879846576,663.0106298864689,670.7010827359123,6092028,671.4008004324777,655.4552583240327,-0.006084317732912847,0.14389752437784986
2020-02-03,659.4017333984375,679.6374674069847,656.9098373016258,671.9470147414929,6416745,669.3201381138393,656.3308890206473,-0.011018758959052244,0.13896636212311547
2020-02-04,676.9736938476562,678.7352336975645,661.7216998917521,661.7216998917521,5771311,669.9461582728794,658.3358474004837,0.026648338272718952,0.15076073344775698
2020-02-05,674.1381225585938,675.3840705824857,665.4165912823738,671.087734255625,6310409,670.7379063197544,660.6538231259301,-0.0041885989290754155,0.1488574864653076
2020-02-06,662.7958984375,676.0715904654292,661.6359084074614,673.9663748132103,7341622,669.9216221400669,662.8285900297619,-0.016824777803762236,0.14124453950255517
2020-02-07,667.9085693359375,669.2404233762667,662.4951949634727,666.7485792723816,2853344,668.3995012555804,664.8642316545759,0.007713793809663416,0.14467618500455387
2020-02-10,664.385498046875,668.5099706672875,661.4210153228079,665.0729014093579,3827682,667.4788556780134,666.2983863467261,-0.005274780787084765,0.14231148522580866
2020-02-11,664.686279296875,669.4552028240754,660.9484871271686,669.3692970632507,4312817,667.1842564174107,666.2983863467261,0.00045272097432014213,0.14251337082418808
2020-02-12,671.1307983398438,673.0211971260142,666.0181467745829,666.6196444491172,2948825,668.8598371233259,666.5193394252232,0.009695580070925969,0.14683895821787452
2020-02-13,680.7545166015625,682.2582343725347,672.1188907487963,674.5248286932491,4387430,669.3999546595982,667.5300002325149,0.014339556887457139,0.153298437058068
2020-02-14,675.770751953125,686.7264095965432,674.1810760434396,682.6878429565338,5321680,669.6331874302456,668.3258492606027,-0.007320942464425051,0.14995331395537476
